form_id,cancer_site_or_form,supplement_pages,has_tnm_definitions,has_stage_group,no_prognostic_stage_group,stage_group_sections_detected,t_categories_defined,n_categories_defined,m_categories_defined,required_inputs_in_stage_table,stage_table_risk_flags,tool_model_recommendation,tnm_first_strategy,exception_category,release_status,tnm_default_policy
6.0,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,14-18,True,True,False,single/shared table,T0,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
7.0,Oral Cavity,19-24,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
8.0,Major Salivary Glands,25-29,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
9.0,Nasopharynx,30-33,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4,NX N0 N1 N2 N3,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
10.0,HPV-Mediated (p16+) Oropharyngeal Cancer,34-38,True,True,False,clinical/cTNM; pathological/pTNM,T0 T1 T2 T3 T4,NX N0 N1 N2 N3,M0 M1 MX,,separate stage tables by classification,Smart-form needed before validated release.,tnm_plus_classification_split,TNM plus c/p/yp table split,build_tnm_rows_with_stage_basis_tabs,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
11.1,Oropharynx (p16-),40-45,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
11.2,Hypopharynx,46-51,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
12.1,Maxillary Sinus,53-58,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
12.2,Nasal Cavity and Ethmoid Sinus,59-64,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
13.1,Larynx: Supraglottis,66-71,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
13.2,Larynx: Glottis,72-77,True,True,False,single/shared table,TX Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
13.3,Larynx: Subglottis,78-82,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
14.0,Mucosal Melanoma of the Head and Neck,83-87,True,True,True,none,T3 T4 T4a T4b,NX N0 N1,MX,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
