ajcc8_source_site,chapter,explicit_definition_rows_extracted,status,start_pdf_page,end_pdf_page
Staging Head and Neck Cancers,5,10,explicit_definitions_extracted,11,14
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,6,10,explicit_definitions_extracted,15,17
Oral Cavity,7,20,explicit_definitions_extracted,18,32
Major Salivary Glands,8,12,explicit_definitions_extracted,33,35
Nasopharynx,9,14,explicit_definitions_extracted,36,37
HPV-Mediated (p16+) Oropharyngeal Cancer,10,12,explicit_definitions_extracted,38,39
Oropharynx (p16-) and Hypopharynx,11,18,explicit_definitions_extracted,40,45
Nasal Cavity and Paranasal Sinuses,12,12,explicit_definitions_extracted,46,47
Larynx,13,12,explicit_definitions_extracted,48,49
Mucosal Melanoma of the Head and Neck,14,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,50,51
Cutaneous Carcinoma of the Head and Neck,15,20,explicit_definitions_extracted,52,57
Esophagus and Esophagogastric Junction,16,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,58,60
Stomach,17,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,61,61
Small Intestine,18,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,62,62
Appendix - Carcinoma,19,22,explicit_definitions_extracted,63,65
Colon and Rectum,20,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,66,66
Anus,21,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,67,67
Liver,22,3,explicit_definitions_extracted,68,69
Intrahepatic Bile Ducts,23,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,70,71
Gallbladder,24,1,explicit_definitions_extracted,72,73
Perihilar Bile Ducts,25,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,74,74
Distal Bile Ducts,26,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,75,75
Ampulla of Vater,27,17,explicit_definitions_extracted,76,77
Exocrine Pancreas,28,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,78,78
Neuroendocrine Tumors of the Stomach,29,10,explicit_definitions_extracted,79,81
Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,30,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,82,82
Neuroendocrine Tumors of the Jejunum and Ileum,31,11,explicit_definitions_extracted,83,84
Neuroendocrine Tumors of the Appendix,32,14,explicit_definitions_extracted,85,88
Neuroendocrine Tumors of the Colon and Rectum,33,17,explicit_definitions_extracted,89,91
Neuroendocrine Tumors of the Pancreas,34,5,explicit_definitions_extracted,92,93
Thymus,35,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,94,95
Lung,36,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,96,96
Malignant Pleural Mesothelioma,37,10,explicit_definitions_extracted,97,98
Bone,38,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,99,99
Introduction to Soft Tissue Sarcoma,39,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,100,100
Soft Tissue Sarcoma of the Head and Neck,40,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,101,102
Soft Tissue Sarcoma of the Trunk and Extremities,41,4,explicit_definitions_extracted,103,104
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,42,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,105,106
Gastrointestinal Stromal Tumor,43,10,explicit_definitions_extracted,107,109
Soft Tissue Sarcoma of the Retroperitoneum,44,4,explicit_definitions_extracted,110,111
Soft Tissue Sarcoma - Unusual Histologies and Sites,45,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,112,114
Merkel Cell Carcinoma,46,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,115,115
Melanoma of the Skin,47,3,explicit_definitions_extracted,116,118
Breast,48,18,explicit_definitions_extracted,119,166
Vulva,50,1,explicit_definitions_extracted,167,170
Vagina,51,16,explicit_definitions_extracted,171,173
Cervix Uteri,52,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,174,175
Corpus Uteri - Carcinoma and Carcinosarcoma,53,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,176,177
Corpus Uteri - Sarcoma,54,19,explicit_definitions_extracted,178,181
"Ovary, Fallopian Tube, and Primary Peritoneal Carcinoma",55,23,explicit_definitions_extracted,182,184
Gestational Trophoblastic Neoplasms,56,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,185,185
Penis,57,13,explicit_definitions_extracted,186,187
Prostate,58,13,explicit_definitions_extracted,188,190
Testis,59,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,191,193
Kidney,60,5,explicit_definitions_extracted,194,196
Renal Pelvis and Ureter,61,13,explicit_definitions_extracted,197,199
Urinary Bladder,62,22,explicit_definitions_extracted,200,202
Urethra,63,6,explicit_definitions_extracted,203,205
Eyelid Carcinoma,64,17,explicit_definitions_extracted,206,208
Conjunctival Carcinoma,65,1,explicit_definitions_extracted,209,210
Conjunctival Melanoma,66,19,explicit_definitions_extracted,211,213
Uveal Melanoma,67,32,explicit_definitions_extracted,214,216
Retinoblastoma,68,4,explicit_definitions_extracted,217,220
Lacrimal Gland Carcinoma,69,1,explicit_definitions_extracted,221,222
Orbital Sarcoma,70,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,223,224
Ocular Adnexal Lymphoma,71,18,explicit_definitions_extracted,225,227
Brain and Spinal Cord,72,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,228,230
Thyroid - Differentiated and Anaplastic Carcinoma,73,19,explicit_definitions_extracted,231,235
Thyroid - Medullary,74,19,explicit_definitions_extracted,236,239
Parathyroid,75,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,240,240
Adrenal Cortical Carcinoma,76,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,241,242
Adrenal - Neuroendocrine Tumors,77,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,243,243
Hodgkin and Non-Hodgkin Lymphomas,79,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,244,246
Pediatric Hodgkin and Non-Hodgkin Lymphomas,80,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,247,248
Primary Cutaneous Lymphomas,81,22,explicit_definitions_extracted,249,253
Plasma Cell Myeloma and Plasma Cell Disorders,82,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,254,255
Leukemia,83,0,no_explicit_tnm_definitions_found_in_uploaded_pdf_pages,256,258
