edition,site,definition_blocks,stage_group_blocks,definition_candidate_rows,simple_stage_rule_candidate_rows,raw_source_available,review_note
AJCC7,Adrenal,7,3,28,6,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Ampulla of Vater,8,3,28,14,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Anus,8,2,35,8,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Appendix,11,3,54,26,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Bone,8,3,30,9,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Brain and Spinal Cord,1,0,5,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Breast,11,3,33,18,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Carcinoma of the Conjunctiva,7,3,22,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Carcinoma of the Eyelid,7,3,31,18,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Carcinoma of the Lacrimal Gland,5,3,8,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Cervix Uteri,8,3,51,20,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Colon and Rectum,8,2,43,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Corpus Uteri,17,7,69,28,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas,7,3,22,8,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Distal Bile Duct,7,3,28,14,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Esophagus and Esophagogastric Junction,7,4,40,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Exocrine and Endocrine Pancreas,7,3,28,14,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Fallopian Tube,8,3,27,24,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Gallbladder,8,3,32,8,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Gastrointestinal Stromal Tumor,8,3,31,18,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Gestational Trophoblastic Tumors,7,3,30,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Intrahepatic Bile Ducts,8,3,28,10,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Kidney,7,3,28,5,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Larynx,7,2,49,12,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Lip and Oral Cavity,7,3,21,12,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Liver (Excluding intrahepatic bile ducts),7,3,25,12,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Lung,7,4,22,16,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Lymphoid Neoplasms,8,6,3,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Major Salivary Glands,7,3,17,10,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Malignant Melanoma of the Conjunctiva,7,1,23,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Malignant Melanoma of the Uvea,5,3,7,10,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Melanoma of the Skin,7,4,18,20,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Merkel Cell Carcinoma,8,3,34,8,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Mucosal Melanoma of the Head and Neck,5,2,14,8,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Nasal Cavity and Paranasal Sinuses,8,2,44,12,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Neuroendocrine Tumors,9,3,33,11,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Ocular Adnexal Lymphoma,8,4,25,0,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Ovary and Primary Peritoneal Carcinoma,8,3,35,24,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Penis,8,3,23,6,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,Perihilar Bile Ducts,7,3,29,8,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
AJCC7,"Pharynx (Including base of tongue, soft palate, and uvula)",9,3,35,22,yes,Actual source text extracted; rows may need correction if source table is complex or spans pages.
