site,edition,category_type,category,definition_status,verification_status,definition
Ampulla of Vater,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Ampulla of Vater,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Ampulla of Vater,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Ampulla of Vater,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
Ampulla of Vater,AJCC7,T,T1,FOUND,checked_v0_7,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）
Ampulla of Vater,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades duodenal wall（侵犯十二指腸壁）
Ampulla of Vater,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades pancreas（侵犯胰臟）
Ampulla of Vater,AJCC7,T,T4,FOUND,checked_v0_7,Tumor invades peripancreatic soft tissues or other adjacent organs/structures（侵犯胰周軟組織或其他鄰近器官/構造）
Ampulla of Vater,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
Ampulla of Vater,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Ampulla of Vater,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Ampulla of Vater,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Ampulla of Vater,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）
Ampulla of Vater,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Ampulla of Vater,AJCC8,T,T1,FOUND,checked_v0_7,Tumor limited to ampulla/sphincter of Oddi or with perisphincteric/duodenal submucosal invasion（限於壺腹/Oddi 括約肌或侵犯括約肌周邊/十二指腸黏膜下層；依 T1a/T1b 細分）
Ampulla of Vater,AJCC8,T,T1a,FOUND,checked_v0_7,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）
Ampulla of Vater,AJCC8,T,T1b,FOUND,checked_v0_7,Tumor invades beyond sphincter of Oddi and/or into duodenal submucosa（侵犯 Oddi 括約肌外及/或十二指腸黏膜下層）
Ampulla of Vater,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria of the duodenum（侵犯十二指腸固有肌層）
Ampulla of Vater,AJCC8,T,T3,FOUND,checked_v0_7,Tumor directly invades pancreas or peripancreatic/periduodenal tissue without major arterial involvement（直接侵犯胰臟或胰周/十二指腸周邊組織，未侵犯主要動脈；依 T3a/T3b 細分）
Ampulla of Vater,AJCC8,T,T3a,FOUND,checked_v0_7,Tumor directly invades pancreas up to 0.5 cm（直接侵犯胰臟 ≤0.5 cm）
Ampulla of Vater,AJCC8,T,T3b,FOUND,checked_v0_7,Tumor extends >0.5 cm into pancreas or into peripancreatic/periduodenal tissue or duodenal serosa without celiac/SMA involvement（侵犯胰臟 >0.5 cm 或侵犯胰周/十二指腸周邊組織/十二指腸漿膜，未侵犯腹腔幹/SMA）
Ampulla of Vater,AJCC8,T,T4,FOUND,checked_v0_7,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）"
Ampulla of Vater,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
Appendix - carcinoma,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Appendix - carcinoma,AJCC7,M,M1a,FOUND,checked_v0_7,"Intraperitoneal metastasis beyond the right lower quadrant, including pseudomyxoma peritonei（右下腹以外腹腔內轉移，含腹膜偽黏液瘤）"
Appendix - carcinoma,AJCC7,M,M1b,FOUND,checked_v0_7,Non-peritoneal metastasis（非腹膜遠端轉移）
Appendix - carcinoma,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Appendix - carcinoma,AJCC7,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）
Appendix - carcinoma,AJCC7,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Appendix - carcinoma,AJCC7,T,T1,FOUND,checked_v0_7,Tumor invades submucosa（侵犯黏膜下層）
Appendix - carcinoma,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Appendix - carcinoma,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades through muscularis propria into subserosa or mesoappendix（穿越肌層至漿膜下或闌尾繫膜）
Appendix - carcinoma,AJCC7,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum or directly invades/adheres to adjacent organs/structures（侵犯臟層腹膜或直接侵犯/沾黏鄰近器官/構造）
Appendix - carcinoma,AJCC7,T,T4a,FOUND,checked_v0_7,"Tumor invades through visceral peritoneum, including acellular mucin/mucinous epithelium on serosa or mesoappendix（侵犯穿透臟層腹膜，含無細胞黏液/黏液性上皮於漿膜或闌尾繫膜）"
Appendix - carcinoma,AJCC7,T,T4b,FOUND,checked_v0_7,Tumor directly invades or adheres to adjacent organs or structures（直接侵犯或沾黏鄰近器官/構造）
Appendix - carcinoma,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
