site,edition,row_count,classifications,status,t_tokens,n_tokens,m_tokens,notes
Esophagus / EGJ - squamous,AJCC7,24,clinical|pathological,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N2|N3,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Esophagus / EGJ - squamous,AJCC8,24,clinical|pathological,RULES_PRESENT,T1|T1a|T1b|T2|T3|T4|T4a|T4b|Tis,N0|N1|N2|N3,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Esophagus / EGJ - adenocarcinoma,AJCC7,26,clinical|pathological,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N2|N3,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Esophagus / EGJ - adenocarcinoma,AJCC8,24,clinical|pathological,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N2|N3,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Stomach,AJCC7,22,any,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N2|N3,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Stomach,AJCC8,39,clinical|pathological,RULES_PRESENT,T1|T1a|T1b|T2|T3|T4a|T4b|Tis,N0|N1|N2|N3a|N3b|NX,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Small intestine,AJCC7,8,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Small intestine,AJCC8,7,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Colon,AJCC7,29,any,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N1c|N2|N2a|N2b,M0|M1|M1a|M1b,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Colon,AJCC8,17,any,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N1a|N1b|N1c|N2|N2a|N2b,M0|M1|M1a|M1b|M1c,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Rectum,AJCC7,29,any,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N1c|N2|N2a|N2b,M0|M1|M1a|M1b,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Rectum,AJCC8,17,any,RULES_PRESENT,T1|T2|T3|T4a|T4b|Tis,N0|N1|N1a|N1b|N1c|N2|N2a|N2b,M0|M1|M1a|M1b|M1c,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Appendix - carcinoma,AJCC7,24,clinical|pathological,RULES_PRESENT,T1|T2|T3|T4|T4a|T4b|Tis,N0|N1|N2,M0|M1a|M1b,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Appendix - carcinoma,AJCC8,13,any,RULES_PRESENT,T1|T2|T3|T4|T4a|T4b|Tis|Tis(LAMN),N0|N1|N1a|N1b|N1c|N2,M0|M1|M1a|M1b|M1c,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
GIST,AJCC7,0,,EXCEPTION_NOT_TNM_ONLY,,,,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
GIST,AJCC8,0,,EXCEPTION_NOT_TNM_ONLY,,,,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
HCC / Liver,AJCC7,7,any,RULES_PRESENT,T1|T2|T3a|T3b|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
HCC / Liver,AJCC8,8,any,RULES_PRESENT,T1|T1a|T1b|T2|T3|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Intrahepatic bile duct,AJCC7,7,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Intrahepatic bile duct,AJCC8,9,any,RULES_PRESENT,T1|T1a|T1b|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Perihilar bile duct,AJCC7,14,any,RULES_PRESENT,T1|T2|T2a|T2b|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Perihilar bile duct,AJCC8,8,any,RULES_PRESENT,T1|T2|T2a|T2b|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Distal bile duct,AJCC7,9,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
