edition,site,category_type,category,definition_match
AJCC7,Oral Cavity,T,T1,exact
AJCC7,Oral Cavity,T,T2,exact
AJCC7,Oral Cavity,T,T3,exact
AJCC7,Oral Cavity,T,T4a,exact
AJCC7,Oral Cavity,T,T4b,exact
AJCC7,Oral Cavity,T,Tis,exact
AJCC7,Oral Cavity,N,N0,exact
AJCC7,Oral Cavity,N,N1,exact
AJCC7,Oral Cavity,N,N2,exact
AJCC7,Oral Cavity,N,N3,exact
AJCC7,Oral Cavity,M,M0,exact
AJCC7,Oral Cavity,M,M1,exact
AJCC7,Major Salivary Glands,T,T1,exact
AJCC7,Major Salivary Glands,T,T2,exact
AJCC7,Major Salivary Glands,T,T3,exact
AJCC7,Major Salivary Glands,T,T4a,exact
AJCC7,Major Salivary Glands,T,T4b,exact
AJCC7,Major Salivary Glands,N,N0,exact
AJCC7,Major Salivary Glands,N,N1,exact
AJCC7,Major Salivary Glands,N,N2,exact
AJCC7,Major Salivary Glands,N,N3,exact
AJCC7,Major Salivary Glands,M,M0,exact
AJCC7,Major Salivary Glands,M,M1,exact
AJCC7,Nasopharynx,T,T1,exact
AJCC7,Nasopharynx,T,T2,exact
AJCC7,Nasopharynx,T,T3,exact
AJCC7,Nasopharynx,T,T4,exact
AJCC7,Nasopharynx,T,T4a,exact
AJCC7,Nasopharynx,T,T4b,exact
AJCC7,Nasopharynx,T,Tis,exact
AJCC7,Nasopharynx,N,N0,exact
AJCC7,Nasopharynx,N,N1,exact
AJCC7,Nasopharynx,N,N2,exact
AJCC7,Nasopharynx,N,N3,exact
AJCC7,Nasopharynx,M,M0,exact
AJCC7,Nasopharynx,M,M1,exact
AJCC7,HPV-Mediated (p16+) Oropharyngeal Cancer,T,T1,exact
AJCC7,HPV-Mediated (p16+) Oropharyngeal Cancer,T,T2,exact
AJCC7,HPV-Mediated (p16+) Oropharyngeal Cancer,T,T3,exact
AJCC7,HPV-Mediated (p16+) Oropharyngeal Cancer,T,T4,exact
AJCC7,HPV-Mediated (p16+) Oropharyngeal Cancer,T,T4a,exact
