edition,previous_pdf_page,previous_printed_page,next_pdf_page,next_printed_page,missing_printed_page_span,approx_site_at_next_page,note
AJCC7,17,1,19,3,2-2,UNKNOWN,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,51,35,53,37,36-36,Lip and Oral Cavity,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,65,49,67,51,50-50,"Pharynx (Including base of tongue, soft palate, and uvula)",Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,83,67,85,69,68-68,Nasal Cavity and Paranasal Sinuses,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,89,73,91,75,74-74,Nasal Cavity and Paranasal Sinuses,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,117,101,119,103,102-102,Esophagus and Esophagogastric Junction,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,127,111,129,113,112-112,Esophagus and Esophagogastric Junction,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,131,115,133,117,116-116,Stomach,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,137,121,139,123,122-122,Stomach,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,157,141,159,143,142-142,Colon and Rectum,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,175,159,177,161,160-160,Colon and Rectum,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,189,173,191,175,174-174,Gastrointestinal Stromal Tumor,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,201,185,203,187,186-186,Neuroendocrine Tumors,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,205,189,207,191,190-190,Liver (Excluding intrahepatic bile ducts),Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,211,195,213,197,196-196,Liver (Excluding intrahepatic bile ducts),Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,215,199,217,201,200-200,Intrahepatic Bile Ducts,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,221,205,223,207,206-206,Intrahepatic Bile Ducts,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,225,209,227,211,210-210,Gallbladder,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,233,217,235,219,218-218,Perihilar Bile Ducts,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,241,225,243,227,226-226,Distal Bile Duct,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,249,233,251,235,234-234,Ampulla of Vater,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,265,249,267,251,250-250,Exocrine and Endocrine Pancreas,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,267,251,269,253,252-252,Lung,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,293,277,295,279,278-278,Pleural Mesothelioma,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,295,279,297,281,280-280,Bone,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,303,287,305,289,288-288,Bone,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,315,299,317,301,300-300,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,325,309,327,311,310-310,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,335,319,337,321,320-320,Merkel Cell Carcinoma,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,339,323,341,325,324-324,Melanoma of the Skin,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,361,345,363,347,346-346,Breast,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,385,369,387,371,370-370,Breast,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,393,377,395,379,378-378,Vulva,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,397,381,399,383,382-382,Vulva,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,405,389,407,391,390-390,Vagina,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,409,393,411,395,394-394,Cervix Uteri,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
AJCC7,425,409,427,411,410-410,Corpus Uteri,Uploaded PDF has a printed-page jump; source pages in this span were not available to the extractor.
