site,edition,rule_rows,status
Esophagus / EGJ - squamous,AJCC7,24,RULES_PRESENT
Esophagus / EGJ - squamous,AJCC8,24,RULES_PRESENT
Esophagus / EGJ - adenocarcinoma,AJCC7,26,RULES_PRESENT
Esophagus / EGJ - adenocarcinoma,AJCC8,24,RULES_PRESENT
Stomach,AJCC7,22,RULES_PRESENT
Stomach,AJCC8,69,RULES_PRESENT
Small intestine,AJCC7,8,RULES_PRESENT
Small intestine,AJCC8,7,RULES_PRESENT
Colon,AJCC7,29,RULES_PRESENT
Colon,AJCC8,17,RULES_PRESENT
Rectum,AJCC7,29,RULES_PRESENT
Rectum,AJCC8,17,RULES_PRESENT
Appendix - carcinoma,AJCC7,24,RULES_PRESENT
Appendix - carcinoma,AJCC8,13,RULES_PRESENT
GIST,AJCC7,0,EXCEPTION_NOT_TNM_ONLY
GIST,AJCC8,0,EXCEPTION_NOT_TNM_ONLY
HCC / Liver,AJCC7,7,RULES_PRESENT
HCC / Liver,AJCC8,8,RULES_PRESENT
Intrahepatic bile duct,AJCC7,7,RULES_PRESENT
Intrahepatic bile duct,AJCC8,9,RULES_PRESENT
Perihilar bile duct,AJCC7,14,RULES_PRESENT
Perihilar bile duct,AJCC8,8,RULES_PRESENT
Distal bile duct,AJCC7,9,RULES_PRESENT
Distal bile duct,AJCC8,8,RULES_PRESENT
Gallbladder,AJCC7,11,RULES_PRESENT
Gallbladder,AJCC8,10,RULES_PRESENT
Ampulla of Vater,AJCC7,9,RULES_PRESENT
Ampulla of Vater,AJCC8,11,RULES_PRESENT
Exocrine pancreas,AJCC7,9,RULES_PRESENT
Exocrine pancreas,AJCC8,8,RULES_PRESENT
NET - stomach,AJCC7,7,RULES_PRESENT
NET - stomach,AJCC8,5,RULES_PRESENT
NET - duodenum / ampulla,AJCC7,7,RULES_PRESENT
NET - duodenum / ampulla,AJCC8,5,RULES_PRESENT
NET - jejunum / ileum,AJCC7,7,RULES_PRESENT
NET - jejunum / ileum,AJCC8,5,RULES_PRESENT
NET - appendix,AJCC7,10,RULES_PRESENT
NET - appendix,AJCC8,5,RULES_PRESENT
NET - colon / rectum,AJCC7,7,RULES_PRESENT
NET - colon / rectum,AJCC8,6,RULES_PRESENT
NET - pancreas,AJCC7,14,RULES_PRESENT
NET - pancreas,AJCC8,5,RULES_PRESENT
