pdf_page,print_page,site,chapter
11,57,Staging Head and Neck Cancers,5
12,58,Staging Head and Neck Cancers,5
13,61,Staging Head and Neck Cancers,5
14,63,Staging Head and Neck Cancers,5
15,69,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,6
16,75,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,6
17,76,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,6
18,79,Oral Cavity,7
19,80,Oral Cavity,7
20,81,Oral Cavity,7
21,82,Oral Cavity,7
22,83,Oral Cavity,7
23,84,Oral Cavity,7
24,85,Oral Cavity,7
25,86,Oral Cavity,7
26,87,Oral Cavity,7
27,88,Oral Cavity,7
28,89,Oral Cavity,7
29,90,Oral Cavity,7
30,91,Oral Cavity,7
31,92,Oral Cavity,7
32,93,Oral Cavity,7
33,96,Major Salivary Glands,8
34,98,Major Salivary Glands,8
35,100,Major Salivary Glands,8
36,104,Nasopharynx,9
37,107,Nasopharynx,9
38,113,HPV-Mediated (p16+) Oropharyngeal Cancer,10
39,120,HPV-Mediated (p16+) Oropharyngeal Cancer,10
40,123,Oropharynx (p16-) and Hypopharynx,11
41,124,Oropharynx (p16-) and Hypopharynx,11
42,127,Oropharynx (p16-) and Hypopharynx,11
43,129,Oropharynx (p16-) and Hypopharynx,11
44,134,Oropharynx (p16-) and Hypopharynx,11
45,135,Oropharynx (p16-) and Hypopharynx,11
46,138,Nasal Cavity and Paranasal Sinuses,12
47,143,Nasal Cavity and Paranasal Sinuses,12
48,150,Larynx,13
49,156,Larynx,13
50,163,Mucosal Melanoma of the Head and Neck,14
51,164,Mucosal Melanoma of the Head and Neck,14
52,171,Cutaneous Carcinoma of the Head and Neck,15
53,172,Cutaneous Carcinoma of the Head and Neck,15
54,173,Cutaneous Carcinoma of the Head and Neck,15
55,174,Cutaneous Carcinoma of the Head and Neck,15
56,178,Cutaneous Carcinoma of the Head and Neck,15
57,179,Cutaneous Carcinoma of the Head and Neck,15
58,185,Esophagus and Esophagogastric Junction,16
59,186,Esophagus and Esophagogastric Junction,16
60,187,Esophagus and Esophagogastric Junction,16
61,204,Stomach,17
62,222,Small Intestine,18
63,238,Appendix - Carcinoma,19
64,239,Appendix - Carcinoma,19
65,243,Appendix - Carcinoma,19
66,252,Colon and Rectum,20
67,276,Anus,21
68,287,Liver,22
69,288,Liver,22
70,295,Intrahepatic Bile Ducts,23
71,296,Intrahepatic Bile Ducts,23
72,303,Gallbladder,24
73,304,Gallbladder,24
74,312,Perihilar Bile Ducts,25
75,318,Distal Bile Ducts,26
76,328,Ampulla of Vater,27
77,333,Ampulla of Vater,27
78,338,Exocrine Pancreas,28
79,351,Neuroendocrine Tumors of the Stomach,29
80,352,Neuroendocrine Tumors of the Stomach,29
81,355,Neuroendocrine Tumors of the Stomach,29
82,362,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,30
83,376,Neuroendocrine Tumors of the Jejunum and Ileum,31
84,380,Neuroendocrine Tumors of the Jejunum and Ileum,31
85,389,Neuroendocrine Tumors of the Appendix,32
86,390,Neuroendocrine Tumors of the Appendix,32
87,392,Neuroendocrine Tumors of the Appendix,32
88,393,Neuroendocrine Tumors of the Appendix,32
89,395,Neuroendocrine Tumors of the Colon and Rectum,33
