term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Anemia,Blood and lymphatic system disorders,CTCAE v5.0,,Hemoglobin (Hgb) <LLN - 10.0 g/dL; <LLN - 6.2 mmol/L; <LLN - 100 g/L,Hgb <10.0 - 8.0 g/dL; <6.2 - 4.9 mmol/L; <100 - 80g/L,Hgb <8.0 g/dL; <4.9 mmol/L; <80 g/L; transfusion indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.",-,4
Bone marrow hypocellular,Blood and lymphatic system disorders,CTCAE v5.0,,Mildly hypocellular or ≤25% reduction from normal cellularity for age,Moderately hypocellular or >25 - <50% reduction from normal cellularity for age,Severely hypocellular or >50 - ≤75% reduction cellularity from normal for age,Aplastic persistent for longer than 2 weeks,Death,A disorder characterized by the inability of the bone marrow to produce hematopoietic elements.,-,4
Disseminated intravascular coagulation,Blood and lymphatic system disorders,CTCAE v5.0,,-,Laboratory findings with no bleeding,Laboratory findings and bleeding,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by systemic pathological activation of blood clotting mechanisms which results in clot formation throughout the body. There is an increase in the risk of hemorrhage as the body is depleted of platelets and coagulation factors.,-,4
Eosinophilia,Blood and lymphatic system disorders,CTCAE v5.0,,>ULN and >Baseline,-,Steroids initiated,-,-,A disorder characterized by laboratory test results that indicate an increased number of eosinophils in the blood.,-,4
Febrile neutropenia,Blood and lymphatic system disorders,CTCAE v5.0,,-,-,ANC <1000/mm3 with a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of ≥38 degrees C (100.4 degrees F) for more than one hour,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an ANC <1000/mm3 and a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of ≥38 degrees C (100.4 degrees F) for more than one hour.,-,4
Hemolysis,Blood and lymphatic system disorders,CTCAE v5.0,,"Laboratory evidence of hemolysis only (e.g., direct antiglobulin test; DAT; Coombs'; schistocytes; decreased haptoglobin)",Evidence of hemolysis and ≥2 g decrease in hemoglobin,"Transfusion or medical intervention indicated (e.g., steroids)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate widespread erythrocyte cell membrane destruction.,-,4
Hemolytic uremic syndrome,Blood and lymphatic system disorders,CTCAE v5.0,,-,-,"Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)","Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)",Death,"A disorder characterized by a form of thrombotic microangiopathy with renal failure, hemolytic anemia, and severe thrombocytopenia.",-,5
Leukocytosis,Blood and lymphatic system disorders,CTCAE v5.0,,-,-,">100,000/mm3",Clinical manifestations of leucostasis; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate an increased number of white blood cells in the blood.,-,5
Lymph node pain,Blood and lymphatic system disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in a lymph node.,-,5
Methemoglobinemia,Blood and lymphatic system disorders,CTCAE v5.0,,-,>ULN,Requiring urgent intervention,Life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate increased methemoglobin in the blood.,-,5
