term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note
"Neutrophil count decreased","Investigations","CTCAE v5.0","neutropenia;ANC;absolute neutrophil count","<LLN - 1500/mm3; <LLN - 1.5 x 10^9/L","<1500 - 1000/mm3; <1.5 - 1.0 x 10^9/L","<1000 - 500/mm3; <1.0 - 0.5 x 10^9/L","<500/mm3; <0.5 x 10^9/L","-","Decrease in number of neutrophils in a blood specimen.","Lab AE quick reference; verify with protocol CTCAE version."
"Febrile neutropenia","Blood and lymphatic system disorders","CTCAE v5.0","FN;neutropenic fever","-","-","ANC <1000/mm3 with single temperature >38.3 C or sustained temperature >=38 C for >1 hour","Life-threatening consequences; urgent intervention indicated","Death","ANC <1000/mm3 with fever as defined by CTCAE.","Report neutrophil count decreased separately when applicable."
"Platelet count decreased","Investigations","CTCAE v5.0","thrombocytopenia;platelet;PLT","<LLN - 75000/mm3; <LLN - 75.0 x 10^9/L","<75000 - 50000/mm3; <75.0 - 50.0 x 10^9/L","<50000 - 25000/mm3; <50.0 - 25.0 x 10^9/L","<25000/mm3; <25.0 x 10^9/L","-","Decrease in number of platelets in a blood specimen.","Lab AE quick reference."
"Lymphocyte count decreased","Investigations","CTCAE v5.0","lymphopenia;ALC;lymphocyte","<LLN - 800/mm3; <LLN - 0.8 x 10^9/L","<800 - 500/mm3; <0.8 - 0.5 x 10^9/L","<500 - 200/mm3; <0.5 - 0.2 x 10^9/L","<200/mm3; <0.2 x 10^9/L","-","Decrease in number of lymphocytes in a blood specimen.","Lab AE quick reference."
"Anemia","Blood and lymphatic system disorders","CTCAE v5.0","hemoglobin;Hgb;Hb","Hgb <LLN - 10.0 g/dL; <LLN - 100 g/L","Hgb <10.0 - 8.0 g/dL; <100 - 80 g/L","Hgb <8.0 g/dL; <80 g/L; transfusion indicated","Life-threatening consequences; urgent intervention indicated","Death","Reduction in hemoglobin.","Lab AE quick reference."
"Alanine aminotransferase increased","Investigations","CTCAE v5.0","ALT;SGPT"," >ULN - 3.0 x ULN if baseline normal; 1.5 - 3.0 x baseline if baseline abnormal",">3.0 - 5.0 x ULN if baseline normal; >3.0 - 5.0 x baseline if baseline abnormal",">5.0 - 20.0 x ULN if baseline normal; >5.0 - 20.0 x baseline if baseline abnormal",">20.0 x ULN if baseline normal; >20.0 x baseline if baseline abnormal","-","Increase in ALT/SGPT in blood.","Also consider hepatic failure when clinically indicated."
"Aspartate aminotransferase increased","Investigations","CTCAE v5.0","AST;SGOT"," >ULN - 3.0 x ULN if baseline normal; 1.5 - 3.0 x baseline if baseline abnormal",">3.0 - 5.0 x ULN if baseline normal; >3.0 - 5.0 x baseline if baseline abnormal",">5.0 - 20.0 x ULN if baseline normal; >5.0 - 20.0 x baseline if baseline abnormal",">20.0 x ULN if baseline normal; >20.0 x baseline if baseline abnormal","-","Increase in AST/SGOT in blood.","Also consider hepatic failure when clinically indicated."
"Blood bilirubin increased","Investigations","CTCAE v5.0","bilirubin;total bilirubin;TBIL"," >ULN - 1.5 x ULN if baseline normal; >1.0 - 1.5 x baseline if baseline abnormal",">1.5 - 3.0 x ULN if baseline normal; >1.5 - 3.0 x baseline if baseline abnormal",">3.0 - 10.0 x ULN if baseline normal; >3.0 - 10.0 x baseline if baseline abnormal",">10.0 x ULN if baseline normal; >10.0 x baseline if baseline abnormal","-","Abnormally high bilirubin in blood.","Also consider hepatic failure when clinically indicated."
"Creatinine increased","Investigations","CTCAE v5.0","creatinine;Cr;SCr"," >ULN - 1.5 x ULN",">1.5 - 3.0 x baseline; >1.5 - 3.0 x ULN",">3.0 x baseline; >3.0 - 6.0 x ULN",">6.0 x ULN","-","Increased creatinine in a biological specimen.","Also consider acute kidney injury."
"Diarrhea","Gastrointestinal disorders","CTCAE v5.0","diarrhoea;loose stool","Increase of <4 stools/day over baseline; mild increase in ostomy output","Increase of 4 - 6 stools/day over baseline; moderate increase in ostomy output; limiting instrumental ADL","Increase of >=7 stools/day over baseline; hospitalization indicated; severe increase in ostomy output; limiting self care ADL","Life-threatening consequences; urgent intervention indicated","Death","Disorder characterized by frequent and watery bowel movements.","Clinical AE quick reference."
"Mucositis oral","Gastrointestinal disorders","CTCAE v5.0","oral mucositis;stomatitis;mouth sore","Asymptomatic or mild symptoms; intervention not indicated","Moderate pain or ulcer that does not interfere with oral intake; modified diet indicated","Severe pain; interfering with oral intake","Life-threatening consequences; urgent intervention indicated","Death","Inflammation or ulceration of the oral mucosa.","Clinical AE quick reference."
"Vomiting","Gastrointestinal disorders","CTCAE v5.0","emesis","Intervention not indicated","Outpatient IV hydration; medical intervention indicated","Tube feeding, TPN, or hospitalization indicated","Life-threatening consequences","Death","Reflexive act of ejecting stomach contents through the mouth.","Clinical AE quick reference."
