map_id,v5_term,v5_soc,v5_page,v6_term,v6_soc,v6_page,map_type,change_flag,changed_fields,possible_counterpart_term,mapping_note
M0001,Abdominal distension,Gastrointestinal disorders,24,Abdominal distension,Gastrointestinal disorders,44,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0002,Abdominal infection,Infections and infestations,53,Abdominal infection,Infections and infestations,103,exact_term,Same,-,-,Exact same AE term in both versions.
M0003,Abdominal pain,Gastrointestinal disorders,24,Abdominal pain,Gastrointestinal disorders,44,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0004,Abdominal soft tissue necrosis,Musculoskeletal and connective tissue disorders,95,Abdominal soft tissue necrosis,Musculoskeletal and connective tissue disorders,183,exact_term,Same,-,-,Exact same AE term in both versions.
M0005,Abducens nerve disorder,Nervous system disorders,104,Abducens nerve disorder,Nervous system disorders,205,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0006,Accessory nerve disorder,Nervous system disorders,104,Accessory nerve disorder,Nervous system disorders,205,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0007,Acidosis,Metabolism and nutrition disorders,91,Acidosis,Metabolism and nutrition disorders,174,exact_term,Same,-,-,Exact same AE term in both versions.
M0008,Acoustic nerve disorder NOS,Nervous system disorders,104,Acoustic nerve disorder NOS,Nervous system disorders,205,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0009,Activated partial thromboplastin time prolonged,Investigations,84,Activated partial thromboplastin time prolonged,Investigations,162,exact_term,Same,-,-,Exact same AE term in both versions.
M0010,Acute kidney injury,Renal and urinary disorders,119,Acute kidney injury,Renal and urinary disorders,241,exact_term,Changed,definition; note,-,Exact same AE term in both versions.
M0011,Adrenal insufficiency,Endocrine disorders,15,Adrenal insufficiency,Endocrine disorders,27,exact_term,Same,-,-,Exact same AE term in both versions.
M0012,Adult respiratory distress syndrome,"Respiratory, thoracic and mediastinal disorders",131,Adult respiratory distress syndrome,"Respiratory, thoracic and mediastinal disorders",267,exact_term,Changed,note,-,Exact same AE term in both versions.
M0013,Agitation,Psychiatric disorders,115,Agitation,Psychiatric disorders,234,exact_term,Same,-,-,Exact same AE term in both versions.
M0014,Akathisia,Nervous system disorders,104,Akathisia,Nervous system disorders,206,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0015,Alanine aminotransferase increased,Investigations,84,Alanine aminotransferase increased,Investigations,162,exact_term,Changed,g1; g2; g3; g4; note,-,Exact same AE term in both versions.
M0016,Alcohol intolerance,Metabolism and nutrition disorders,91,Alcohol intolerance,Metabolism and nutrition disorders,174,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0017,Alkaline phosphatase increased,Investigations,84,Alkaline phosphatase increased,Investigations,162,exact_term,Changed,g1; g2; g3; g4; definition,-,Exact same AE term in both versions.
M0018,Alkalosis,Metabolism and nutrition disorders,91,Alkalosis,Metabolism and nutrition disorders,174,exact_term,Same,-,-,Exact same AE term in both versions.
M0019,Allergic reaction,Immune system disorders,51,Allergic reaction,Immune system disorders,99,exact_term,Changed,g3; definition; note,-,Exact same AE term in both versions.
M0020,Allergic rhinitis,"Respiratory, thoracic and mediastinal disorders",131,Allergic rhinitis,"Respiratory, thoracic and mediastinal disorders",267,exact_term,Same,-,-,Exact same AE term in both versions.
M0021,Alopecia,Skin and subcutaneous tissue disorders,142,Alopecia,Skin and subcutaneous tissue disorders,290,exact_term,Same,-,-,Exact same AE term in both versions.
M0022,Amenorrhea,Reproductive system and breast disorders,123,Amenorrhea,Reproductive system and breast disorders,251,exact_term,Same,-,-,Exact same AE term in both versions.
M0023,Amnesia,Nervous system disorders,104,Amnesia,Nervous system disorders,206,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0024,Anal fissure,Gastrointestinal disorders,24,Anal fissure,Gastrointestinal disorders,44,exact_term,Same,-,-,Exact same AE term in both versions.
M0025,Anal fistula,Gastrointestinal disorders,24,Anal fistula,Gastrointestinal disorders,45,exact_term,Same,-,-,Exact same AE term in both versions.
M0026,Anal hemorrhage,Gastrointestinal disorders,24,-,-,-,v5_only,v5 only,-,-,-
M0027,Anal mucositis,Gastrointestinal disorders,24,Anal mucositis,Gastrointestinal disorders,45,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0028,Anal necrosis,Gastrointestinal disorders,24,Anal necrosis,Gastrointestinal disorders,45,exact_term,Same,-,-,Exact same AE term in both versions.
M0029,Anal pain,Gastrointestinal disorders,25,Anal pain,Gastrointestinal disorders,46,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0030,Anal stenosis,Gastrointestinal disorders,25,Anal stenosis,Gastrointestinal disorders,46,exact_term,Same,-,-,Exact same AE term in both versions.
M0031,Anal ulcer,Gastrointestinal disorders,25,Anal ulcer,Gastrointestinal disorders,46,exact_term,Same,-,-,Exact same AE term in both versions.
M0032,Anaphylaxis,Immune system disorders,51,Anaphylaxis,Immune system disorders,99,exact_term,Changed,note,-,Exact same AE term in both versions.
M0033,Anemia,Blood and lymphatic system disorders,4,Anemia,Blood and lymphatic system disorders,4,exact_term,Changed,g2,-,Exact same AE term in both versions.
M0034,-,-,-,Anesthetic complication,"Injury, poisoning and procedural complications",133,v6_only,v6 only,-,-,-
M0035,Ankle fracture,"Injury, poisoning and procedural complications",70,-,-,-,v5_only,v5 only,-,-,-
M0036,Anorectal infection,Infections and infestations,53,Anorectal infection,Infections and infestations,103,exact_term,Same,-,-,Exact same AE term in both versions.
M0037,Anorexia,Metabolism and nutrition disorders,91,Anorexia,Metabolism and nutrition disorders,175,exact_term,Same,-,-,Exact same AE term in both versions.
M0038,Anorgasmia,Psychiatric disorders,115,Anorgasmia,Psychiatric disorders,234,exact_term,Same,-,-,Exact same AE term in both versions.
M0039,Anosmia,Nervous system disorders,104,Anosmia,Nervous system disorders,206,exact_term,Changed,note,-,Exact same AE term in both versions.
