site,edition,classification,category_type,category,short_definition,detail_note,verification_status
Ampulla of Vater,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Ampulla of Vater,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Ampulla of Vater,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Ampulla of Vater,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
Ampulla of Vater,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Ampulla of Vater,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Ampulla of Vater,AJCC7,any,T,T1,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）,,checked_v0_7
Ampulla of Vater,AJCC7,any,T,T2,Tumor invades duodenal wall（侵犯十二指腸壁）,,checked_v0_7
Ampulla of Vater,AJCC7,any,T,T3,Tumor invades pancreas（侵犯胰臟）,,checked_v0_7
Ampulla of Vater,AJCC7,any,T,T4,Tumor invades peripancreatic soft tissues or other adjacent organs/structures（侵犯胰周軟組織或其他鄰近器官/構造）,,checked_v0_7
Ampulla of Vater,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Ampulla of Vater,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Ampulla of Vater,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Ampulla of Vater,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Ampulla of Vater,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Ampulla of Vater,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Ampulla of Vater,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Ampulla of Vater,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T1,Tumor limited to ampulla/sphincter of Oddi or with perisphincteric/duodenal submucosal invasion（限於壺腹/Oddi 括約肌或侵犯括約肌周邊/十二指腸黏膜下層；依 T1a/T1b 細分）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T1a,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T1b,Tumor invades beyond sphincter of Oddi and/or into duodenal submucosa（侵犯 Oddi 括約肌外及/或十二指腸黏膜下層）,,checked_v0_7
