site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section
UNKNOWN,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,23,B00004
UNKNOWN,AJCC7,any,T,Tis,"Carcinoma in situ T1, T2, T3, T4 Increasing size and/or local extension of the primary tumor",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,23,B00004
UNKNOWN,AJCC7,any,T,TX,Primary tumor cannot be assessed (use of TX should be minimized),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,23,B00004
UNKNOWN,AJCC7,any,N,N0,"No regional lymph node metastases N1, N2, N3 Increasing number or extent of regional lymph node involvement",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,23,B00005
UNKNOWN,AJCC7,any,N,NX,"Regional lymph nodes cannot be assessed (use of NX should be minimized) In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,23,B00005
UNKNOWN,AJCC7,any,M,M0,No distant metastases,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,24,B00006
UNKNOWN,AJCC7,any,M,M1,"Distant metastases present Note : The MX designation has been eliminated from the AJCC/UICC TNM system. The M1 category may be further specifi ed according to the following notation signifying the location of metastases: Pulmonary PUL Osseous OSS Hepatic HEP Brain BRA Lymph nodes LYM Bone marrow MAR Pleura PLE Peritoneum PER Adrenal ADR Skin SKI Other OTH Nonanatomic Prognostic Factors Required for Staging. In some cancer types, nonanatomic factors are required for assigning the anatomic stage/prognostic group. These are clearly defi ned in each chapter. These factors are collected separately from T, N, and M, which remain purely anatomic, and are used to assign stage groups. Where nonan- atomic factors are used in groupings, there is a defi nition of the groupings provided for cases where the nonanatomic factor is not available (X) or where it is desired to assign a group ignoring the nonanatomic factor. Use of the Unknown X Designation. The X category is used when information on a specifi c component is unknown. Cases where T or N is classifi ed as X cannot be assigned a stage (an exception is Any T or Any N M1 , which includes TX or NX, classifi ed as Stage IV - e.g., TX NX M1 or TX N3 M1 are Stage IV). Therefore, the X category for T and N should be used only when absolutely necessary. The category MX has been eliminated from the AJCC/ UICC TNM system. Unless there is clinical or pathologic evi- dence of distant metastases, the case is classifi ed as clinical M0 (cM0). Because of the requirement for pathologists to assign TNM on cancer pathology reports, and because the patholo- gist often does not have information to assign M, the CAP has dropped the M component from pathology templates to fur- ther discourage use of MX. The elimination of the code MX is a change in the seventh edition of the AJCC Cancer Staging Manual and UICC TNM Cancer Staging Manual . See later for rules for M classifi cation. The following general rules apply to application of T, N, and M for all sites and classifi cations (Table 1.3 ): 1. Microscopic confi rmation: All cases should be confi rmed microscopically for classifi cation by TNM (including clinical classifi cation). Rare cases that do not have any biopsy or cytology of the tumor can be staged, but sur- vival should be analyzed separately. These cases should not be included in overall disease survival analyses. TABLE 1.3. General rules for TNM staging General rules for staging Microscopic confi rmation Microscopic confi rmation required for TNM classifi cation Rare cases without microscopic confi rmation should be analyzed separately Cancers classifi ed by ICD-O-3 Recommend pathology reporting using CAP cancer protocols Timing of data eligible for clinical staging Data obtained before defi nitive treatment as part of primary treatment or within 4 months of diagnosis, whichever is shorter The time frame for collecting clinical stage data also ends when a decision is made for active surveillance (“watchful waiting”) without therapy Timing data eligible for pathologic staging Data obtained through defi nitive surgery as part of primary treatment or within 4 months of diagnosis, whichever is longer Timing of data eligible for staging with neoadjuvant therapy Stage in cases with neoadjuvant therapy is (a) clinical as defi ned earlier before initiation of therapy and (b) clinical or pathologic using data obtained after completion of neoadjuvant therapy (ycTNM or ypTNM) Staging in cases with uncertainty among T, N, or M categories Assign the lower (less advanced) category of T, N, or M, prognostic factor, or stage group Absence of staging-required nonanatomic prognostic factor Assign stage grouping by the group defi ned by the lower (less advanced) designation for that factor Multiple synchronous primary tumors in single organ Stage T by most advanced tumor; use “m” suffi x or the number of tumors in parentheses, e.g., pT3(m)N0M0 or pT3(4)N0M0 Synchronous primary tumors in paired organs Stage and report independently Metachronous primary tumors in single organ (not recurrence) Stage and report independently T0 staging - unknown primary Stage based on clinical suspicion of primary tumor (e.g., T0 N1 M0 Group IIA breast cancer) In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,24,B00006
UNKNOWN,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,41,B00009
UNKNOWN,AJCC7,any,N,N0,"No regional lymph node metastasis N1* Metastasis in a single ipsilateral lymph node, 3 cm or less in greatest dimension N2* Metastasis in a single ipsilateral lymph node, more than 3 cm but not more than 6 cm in greatest dimension; or in multiple ipsilateral lymph nodes, none more than 6 cm in greatest dimension; or in bilateral or contralateral lymph nodes, none more than 6 cm in greatest dimension N2a* Metastasis in single ipsilateral lymph node more than 3 cm but not more than 6 cm in greatest dimension N2b* Metastasis in multiple ipsilateral lymph nodes, none more than 6 cm in greatest dimension N2c* Metastasis in bilateral or contralateral lymph nodes, none more than 6 cm in greatest dimension N3* Metastasis in a lymph node more than 6 cm in greatest dimension FIGURE 1. Schematic indicating the location of the lymph node levels in the neck as described in Table 1. In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,41,B00009
UNKNOWN,AJCC7,any,M,M0,No distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,42,B00010
