site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Oral Cavity,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,29,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,T,Tis,Carcinoma in situ,,strict_table_extracted_v1_6,29,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,T,T1,"Tumor ≤ 2 cm, ≤ 5 mm depth of invasion (DOI) DOI is depth of invasion and not tumor thickness.",,strict_table_extracted_v1_6,29,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,T,T2,"Tumor ≤ 2 cm, DOI > 5 mm and ≤ 10 mm or tumor > 2 cm but ≤ 4 cm, and DOI ≤ 10 mm demonstrate a specific relationship with nerve, such as wrapping around nerves, in order to be classified as perineural invasion (PNI). Merely “bumping” into a nerve does not constitute PNI",,strict_table_extracted_v1_6,29,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,T,T3,Tumor > 4 cm or any tumor with DOI > 10 mm but ≤ 20 mm,,strict_table_extracted_v1_6,30,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,T,T4,Moderately advanced or very advanced local disease,,strict_table_extracted_v1_6,30,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,T,T4a,"Moderately advanced local disease Tumor invades adjacent structures only (e.g., through cortical bone of the mandible or maxilla, or involves the maxillary sinus or skin of the face) or extensive tumor with bilateral tongue involvement and/or DOI > 20 mm. (alone) by a gingival primary is not sufficient to classify a tumor as T4.",,strict_table_extracted_v1_6,30,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,T,T4b,"Very advanced local disease Tumor invades masticator space, pterygoid plates, or skull base and/or encases the internal carotid artery",,strict_table_extracted_v1_6,30,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Oral Cavity,AJCC8,clinical,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,30,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oral Cavity,AJCC8,clinical,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,30,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oral Cavity,AJCC8,clinical,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,30,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
