site,edition,t,n,m,stage,note
Stomach,AJCC7,Tis,N0,M0,0,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T1,N0,M0,IA,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T2,N0,M0,IB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T1,N1,M0,IB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T3,N0,M0,IIA,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T2,N1,M0,IIA,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T1,N2,M0,IIA,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4a,N0,M0,IIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T3,N1,M0,IIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T2,N2,M0,IIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T1,N3,M0,IIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4a,N1,M0,IIIA,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T3,N2,M0,IIIA,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T2,N3,M0,IIIA,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4b,N0,M0,IIIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4b,N1,M0,IIIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4a,N2,M0,IIIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T3,N3,M0,IIIB,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4b,N2,M0,IIIC,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4b,N3,M0,IIIC,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,T4a,N3,M0,IIIC,7.0 local rule pack; verify before clinical use
Stomach,AJCC7,Any,Any,M1,IV,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,Tis,N0,M0,0,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,T1,N0,M0,I,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,T2,N0,M0,I,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,T3,N0,M0,IIA,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,T4,N0,M0,IIB,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,Any,N1,M0,IIIA,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,Any,N2,M0,IIIB,7.0 local rule pack; verify before clinical use
Small intestine,AJCC7,Any,Any,M1,IV,7.0 local rule pack; verify before clinical use
Colon,AJCC7,Tis,N0,M0,0,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T1,N0,M0,I,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T2,N0,M0,I,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T3,N0,M0,IIA,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T4a,N0,M0,IIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T4b,N0,M0,IIC,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T1,N1,M0,IIIA,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T1,N1c,M0,IIIA,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T2,N1,M0,IIIA,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T2,N1c,M0,IIIA,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T1,N2a,M0,IIIA,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T3,N1,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T3,N1c,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T4a,N1,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T4a,N1c,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T2,N2a,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T3,N2a,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T1,N2b,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T2,N2b,M0,IIIB,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T4a,N2a,M0,IIIC,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T3,N2b,M0,IIIC,7.0 local rule pack; verify before clinical use
Colon,AJCC7,T4a,N2b,M0,IIIC,7.0 local rule pack; verify before clinical use
