site,edition,classification,t,n,m,grade,location,stage,note,source_block_id,source_pdf_page,printed_page,section_heading,extraction_status
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00606; cancer committee review pending,B00606,16,75,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N2,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00606; cancer committee review pending,B00606,16,75,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00606; cancer committee review pending,B00606,16,75,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00606; cancer committee review pending,B00606,16,75,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00607; cancer committee review pending,B00607,16,75,Prognostic Stage Groups for metastatic cervical adenopathy,simple_tnm_stage_table_candidate
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N2,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00607; cancer committee review pending,B00607,16,75,Prognostic Stage Groups for metastatic cervical adenopathy,simple_tnm_stage_table_candidate
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00607; cancer committee review pending,B00607,16,75,Prognostic Stage Groups for metastatic cervical adenopathy,simple_tnm_stage_table_candidate
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00607; cancer committee review pending,B00607,16,75,Prognostic Stage Groups for metastatic cervical adenopathy,simple_tnm_stage_table_candidate
Oral Cavity,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Oral Cavity,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Oral Cavity,AJCC8,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Oral Cavity,AJCC8,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Oral Cavity,AJCC8,any,T4b,Any,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Oral Cavity,AJCC8,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
