site,edition,classification,t,n,m,grade,location,stage,note,source_pdf_page,source_site,raw_line,extract_method,needs_review
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N1,M0,Any,Any,III,source_page=16; extract_method=tnm_stage,16,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,T0 N1 M0 III,tnm_stage,check
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N2,M0,Any,Any,III,source_page=16; extract_method=stage_carried; extra_factors/raw_extra=IVA,16,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,T0 N2 M0 IVA,stage_carried,YES
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N2,M0,Any,Any,IVA,source_page=16; extract_method=tnm_stage,16,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,T0 N2 M0 IVA,tnm_stage,check
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N3,M0,Any,Any,IVA,source_page=16; extract_method=stage_carried; extra_factors/raw_extra=IVB,16,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,T0 N3 M0 IVB,stage_carried,YES
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N3,M0,Any,Any,IVB,source_page=16; extract_method=tnm_stage,16,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,T0 N3 M0 IVB,tnm_stage,check
Oral Cavity,AJCC8,any,Tis,N0,M0,Any,Any,0,source_page=31; extract_method=tnm_stage,31,Oral Cavity,Tis N0 M0 0,tnm_stage,check
Oral Cavity,AJCC8,any,T1,N0,M0,Any,Any,0,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=I | G | G Definition,31,Oral Cavity,T1 N0 M0 I G G Definition,stage_carried,YES
Oral Cavity,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=31; extract_method=tnm_stage; extra_factors/raw_extra=G | G Definition,31,Oral Cavity,T1 N0 M0 I G G Definition,tnm_stage,YES
Oral Cavity,AJCC8,any,T2,N0,M0,Any,Any,I,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=II | GX | Cannot be assessed,31,Oral Cavity,T2 N0 M0 II GX Cannot be assessed,stage_carried,YES
Oral Cavity,AJCC8,any,T2,N0,M0,Any,Any,II,source_page=31; extract_method=tnm_stage; extra_factors/raw_extra=GX | Cannot be assessed,31,Oral Cavity,T2 N0 M0 II GX Cannot be assessed,tnm_stage,YES
Oral Cavity,AJCC8,any,T3,N0,M0,Any,Any,II,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=III | G1 | Well differentiated,31,Oral Cavity,T3 N0 M0 III G1 Well differentiated,stage_carried,YES
Oral Cavity,AJCC8,any,T3,N0,M0,Any,Any,III,source_page=31; extract_method=tnm_stage; extra_factors/raw_extra=G1 | Well differentiated,31,Oral Cavity,T3 N0 M0 III G1 Well differentiated,tnm_stage,YES
Oral Cavity,AJCC8,any,T1|2|3,N1,M0,Any,Any,III,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=III | G2 | Moderately differentiated; duplicate_source_page=31,31,Oral Cavity,"T1,2,3 N1 M0 III G2 Moderately differentiated",stage_carried,YES
Oral Cavity,AJCC8,any,T4a,N0|1,M0,Any,Any,III,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=IVA | G3 | Poorly differentiated,31,Oral Cavity,"T4a N0,1 M0 IVA G3 Poorly differentiated",stage_carried,YES
Oral Cavity,AJCC8,any,T4a,N0|1,M0,Any,Any,IVA,source_page=31; extract_method=tnm_stage; extra_factors/raw_extra=G3 | Poorly differentiated,31,Oral Cavity,"T4a N0,1 M0 IVA G3 Poorly differentiated",tnm_stage,YES
Oral Cavity,AJCC8,any,T1|2|3|4a,N2,M0,Any,Any,IVA,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=IVA; duplicate_source_page=31,31,Oral Cavity,"T1,2,3,4a N2 M0 IVA",stage_carried,YES
Oral Cavity,AJCC8,any,Any,N3,M0,Any,Any,IVA,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=IVB,31,Oral Cavity,Any T N3 M0 IVB,stage_carried,YES
Oral Cavity,AJCC8,any,Any,N3,M0,Any,Any,IVB,source_page=31; extract_method=tnm_stage,31,Oral Cavity,Any T N3 M0 IVB,tnm_stage,check
Oral Cavity,AJCC8,any,T4b,Any,M0,Any,Any,IVB,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=IVB; duplicate_source_page=31,31,Oral Cavity,T4b Any N M0 IVB,stage_carried,YES
Oral Cavity,AJCC8,yp,Any,Any,M1,Any,Any,IVB,source_page=31; extract_method=stage_carried; extra_factors/raw_extra=IVC,31,Oral Cavity,Any T Any N M1 IVC,stage_carried,YES
Oral Cavity,AJCC8,yp,Any,Any,M1,Any,Any,IVC,source_page=31; extract_method=tnm_stage,31,Oral Cavity,Any T Any N M1 IVC,tnm_stage,check
Major Salivary Glands,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=35; extract_method=tnm_stage,35,Major Salivary Glands,T1 N0 M0 I,tnm_stage,check
Major Salivary Glands,AJCC8,any,T2,N0,M0,Any,Any,I,source_page=35; extract_method=stage_carried; extra_factors/raw_extra=II,35,Major Salivary Glands,T2 N0 M0 II,stage_carried,YES
Major Salivary Glands,AJCC8,any,T2,N0,M0,Any,Any,II,source_page=35; extract_method=tnm_stage,35,Major Salivary Glands,T2 N0 M0 II,tnm_stage,check
Major Salivary Glands,AJCC8,any,T0|T1|T2|T3,N1,M0,Any,Any,II,source_page=35; extract_method=stage_carried; extra_factors/raw_extra=III,35,Major Salivary Glands,"T0, T1, T2, T3 N1 M0 III",stage_carried,YES
Major Salivary Glands,AJCC8,any,T0|T1|T2|T3,N1,M0,Any,Any,III,source_page=35; extract_method=tnm_stage,35,Major Salivary Glands,"T0, T1, T2, T3 N1 M0 III",tnm_stage,check
Major Salivary Glands,AJCC8,any,T4a,N0|N1,M0,Any,Any,III,source_page=35; extract_method=stage_carried; extra_factors/raw_extra=IVA,35,Major Salivary Glands,"T4a N0, N1 M0 IVA",stage_carried,YES
Major Salivary Glands,AJCC8,any,T4a,N0|N1,M0,Any,Any,IVA,source_page=35; extract_method=tnm_stage,35,Major Salivary Glands,"T4a N0, N1 M0 IVA",tnm_stage,check
Major Salivary Glands,AJCC8,any,T0|T1|T2|T3|,N2,M0,Any,Any,IVA,source_page=35; extract_method=stage_carried; extra_factors/raw_extra=IVA; duplicate_source_page=35,35,Major Salivary Glands,"T0, T1, T2, T3, N2 M0 IVA",stage_carried,YES
Major Salivary Glands,AJCC8,any,T4b,Any,M0,Any,Any,IVA,source_page=35; extract_method=stage_carried; extra_factors/raw_extra=IVB,35,Major Salivary Glands,T4b Any N M0 IVB,stage_carried,YES
Major Salivary Glands,AJCC8,any,T4b,Any,M0,Any,Any,IVB,source_page=35; extract_method=tnm_stage,35,Major Salivary Glands,T4b Any N M0 IVB,tnm_stage,check
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2,N0|N1,M0,Any,Any,I,source_page=39; extract_method=tnm_stage; duplicate_source_page=39,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1 or T2 N0 or N1 M0 I",tnm_stage,check
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2,N2,M0,Any,Any,I,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=II,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1 or T2 N2 M0 II",stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2,N2,M0,Any,Any,II,source_page=39; extract_method=tnm_stage,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1 or T2 N2 M0 II",tnm_stage,check
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2|,N3,M0,Any,Any,II,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=III,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1, T2, N3 M0 III",stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2|,N3,M0,Any,Any,III,source_page=39; extract_method=tnm_stage,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1, T2, N3 M0 III",tnm_stage,check
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T4,N0|N1|N2or,M0,Any,Any,III,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=III; duplicate_source_page=39,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T4 N0, N1, N2 or M0 III",stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2,N0|N1,M0,Any,Any,III,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=I,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1 or T2 N0, N1 M0 I",stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T3|T4,N2,M0,Any,Any,I,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=III,39,HPV-Mediated (p16+) Oropharyngeal Cancer,T3 or T4 N2 M0 III,stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T3|T4,N2,M0,Any,Any,III,source_page=39; extract_method=tnm_stage,39,HPV-Mediated (p16+) Oropharyngeal Cancer,T3 or T4 N2 M0 III,tnm_stage,check
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,Any,Any,M1,Any,Any,III,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=IV,39,HPV-Mediated (p16+) Oropharyngeal Cancer,Any T Any N M1 IV,stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,Any,Any,M1,Any,Any,IV,source_page=39; extract_method=tnm_stage,39,HPV-Mediated (p16+) Oropharyngeal Cancer,Any T Any N M1 IV,tnm_stage,check
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=47; extract_method=tnm_stage,47,Nasal Cavity and Paranasal Sinuses,T1 N0 M0 I,tnm_stage,check
Larynx,AJCC8,any,Tis,N0,M0,Any,Any,0,source_page=49; extract_method=tnm_stage,49,Larynx,Tis N0 M0 0,tnm_stage,check
Larynx,AJCC8,any,T1|T2|T3|T4a,N2,M0,Any,Any,0,source_page=49; extract_method=stage_carried; extra_factors/raw_extra=IVA,49,Larynx,"T1, T2, T3, T4a N2 M0 IVA",stage_carried,YES
