site,edition,classification,t,n,m,grade,location,stage,note
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,any,T0,N1,M0,Any,Any,III,source_page=16; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck -> tool_site=Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck; New/changed AJCC8 site; no direct AJCC7 chapter in uploaded 7th manual TOC.
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1b,N0,M0,Any,Any,IA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1b,N0,M0,Any,Any,IB,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1c,N0,M0,Any,Any,IB,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IC | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1c,N0,M0,Any,Any,IC,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T2,N0,M0,Any,Any,IC,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=II | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T2,N0,M0,Any,Any,II,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3a,N0,M0,Any,Any,II,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIA | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3a,N0,M0,Any,Any,IIIA,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3b,N0,M0,Any,Any,IIIA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIB | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T3b,N0,M0,Any,Any,IIIB,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1|T2|T3,N1,M0,Any,Any,IIIB,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IIIC | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T1|T2|T3,N1,M0,Any,Any,IIIC,source_page=181; extract_method=tnm_stage | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T4,Any,M0,Any,Any,IIIC,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IVA | Glandular elements | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,T4,Any,M0,Any,Any,IVA,source_page=181; extract_method=tnm_stage; extra_factors/raw_extra=Glandular elements | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,yp,Any,Any,M1,Any,Any,IVA,source_page=181; extract_method=stage_carried; extra_factors/raw_extra=IVB | High-grade endometrial stromal sarcoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Corpus Uteri - Sarcoma -> tool_site=Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
