site,edition,classification,t,n,m,grade,location,stage,note,source_pdf_page,source_site,raw_line,extract_method,needs_review
Lip and Oral Cavity,AJCC7,any,Tis,N0,M0,Any,Any,0,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.0 External upper lip; duplicate_source_page=49; duplicate_source_page=54,45,Lip and Oral Cavity,Stage 0 Tis N0 M0 C00.0 External upper lip,stage_first,YES
Lip and Oral Cavity,AJCC7,any,T1,N0,M0,Any,Any,I,"source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.2 External lip, NOS; duplicate_source_page=49; duplicate_source_page=54",45,Lip and Oral Cavity,"Stage I T1 N0 M0 C00.2 External lip, NOS",stage_first,YES
Lip and Oral Cavity,AJCC7,any,T2,N0,M0,Any,Any,II,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.4 Mucosa of lower lip; duplicate_source_page=54,45,Lip and Oral Cavity,Stage II T2 N0 M0 C00.4 Mucosa of lower lip,stage_first,YES
Lip and Oral Cavity,AJCC7,any,T3,N0,M0,Any,Any,III,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C00.6 Commissure of lip; duplicate_source_page=49; duplicate_source_page=54,45,Lip and Oral Cavity,Stage III T3 N0 M0 C00.6 Commissure of lip,stage_first,YES
Lip and Oral Cavity,AJCC7,any,T1,N1,M0,Any,Any,III,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C00.8 Overlapping lesion of lip; duplicate_source_page=49; duplicate_source_page=54,45,Lip and Oral Cavity,T1 N1 M0 C00.8 Overlapping lesion of lip,stage_carried,YES
Lip and Oral Cavity,AJCC7,any,T2,N1,M0,Any,Any,III,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C00.9 Lip, NOS; duplicate_source_page=49; duplicate_source_page=54",45,Lip and Oral Cavity,"T2 N1 M0 C00.9 Lip, NOS",stage_carried,YES
Lip and Oral Cavity,AJCC7,any,T3,N1,M0,Any,Any,III,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C02.0 Dorsal surface of tongue, NOS; duplicate_source_page=49; duplicate_source_page=54",45,Lip and Oral Cavity,"T3 N1 M0 C02.0 Dorsal surface of tongue, NOS",stage_carried,YES
Lip and Oral Cavity,AJCC7,any,T4a,N0,M0,Any,Any,IVA,"source_page=45; extract_method=stage_first; extra_factors/raw_extra=C02.2 Ventral surface of tongue, NOS; duplicate_source_page=54",45,Lip and Oral Cavity,"Stage IVA T4a N0 M0 C02.2 Ventral surface of tongue, NOS",stage_first,YES
Lip and Oral Cavity,AJCC7,any,T4a,N1,M0,Any,Any,IVA,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C02.3 Anterior two-thirds of; duplicate_source_page=54,45,Lip and Oral Cavity,T4a N1 M0 C02.3 Anterior two-thirds of,stage_carried,YES
Lip and Oral Cavity,AJCC7,any,T1,N2,M0,Any,Any,IVA,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=tongue, NOS; duplicate_source_page=54",45,Lip and Oral Cavity,"T1 N2 M0 tongue, NOS",stage_carried,YES
Lip and Oral Cavity,AJCC7,any,T2,N2,M0,Any,Any,IVA,"source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C02.9 Tongue, NOS; duplicate_source_page=54",45,Lip and Oral Cavity,"T2 N2 M0 C02.9 Tongue, NOS",stage_carried,YES
Lip and Oral Cavity,AJCC7,any,T3,N2,M0,Any,Any,IVA,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C03.0 Upper gum; duplicate_source_page=54,45,Lip and Oral Cavity,T3 N2 M0 C03.0 Upper gum,stage_carried,YES
Lip and Oral Cavity,AJCC7,any,T4a,N2,M0,Any,Any,IVA,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C03.1 Lower gum; duplicate_source_page=54,45,Lip and Oral Cavity,T4a N2 M0 C03.1 Lower gum,stage_carried,YES
Lip and Oral Cavity,AJCC7,any,Any,N3,M0,Any,Any,IVB,source_page=45; extract_method=stage_first; extra_factors/raw_extra=C04.0 Anterior floor of mouth; duplicate_source_page=50; duplicate_source_page=54,45,Lip and Oral Cavity,Stage IVB Any T N3 M0 C04.0 Anterior floor of mouth,stage_first,YES
Lip and Oral Cavity,AJCC7,any,T4b,Any,M0,Any,Any,IVB,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C04.1 Lateral floor of mouth; duplicate_source_page=50; duplicate_source_page=54,45,Lip and Oral Cavity,T4b Any N M0 C04.1 Lateral floor of mouth,stage_carried,YES
Lip and Oral Cavity,AJCC7,any,Any,Any,M1,Any,Any,IVC,source_page=45; extract_method=stage_first; extra_factors/raw_extra=of mouth; duplicate_source_page=50; duplicate_source_page=54,45,Lip and Oral Cavity,Stage IVC Any T Any N M1 of mouth,stage_first,YES
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,yp,Tis,N0,M0,Any,Any,0,source_page=57; extract_method=stage_first; extra_factors/raw_extra=C02.4 Lingual tonsil; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69,57,"Pharynx (Including base of tongue, soft palate, and uvula)",Stage 0 Tis N0 M0 C02.4 Lingual tonsil,stage_first,YES
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,yp,T1,N0,M0,Any,Any,I,source_page=57; extract_method=stage_first; extra_factors/raw_extra=C05.2 Uvula; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69,57,"Pharynx (Including base of tongue, soft palate, and uvula)",Stage I T1 N0 M0 C05.2 Uvula,stage_first,YES
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,yp,T1,N1,M0,Any,Any,II,source_page=57; extract_method=stage_first; extra_factors/raw_extra=C09.0 Tonsillar fossa,57,"Pharynx (Including base of tongue, soft palate, and uvula)",Stage II T1 N1 M0 C09.0 Tonsillar fossa,stage_first,YES
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,yp,T2,N0,M0,Any,Any,II,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C09.1 Tonsillar pillar; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69,57,"Pharynx (Including base of tongue, soft palate, and uvula)",T2 N0 M0 C09.1 Tonsillar pillar,stage_carried,YES
