site,edition,classification,t,n,m,grade,location,stage,note,source_block_id,source_pdf_page,printed_page,section_heading,extraction_status
Lip and Oral Cavity,AJCC7,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00011; cancer committee review pending,B00011,45,29,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00011; cancer committee review pending,B00011,45,29,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00011; cancer committee review pending,B00011,45,29,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,T4a,N0,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00011; cancer committee review pending,B00011,45,29,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00011; cancer committee review pending,B00011,45,29,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00011; cancer committee review pending,B00011,45,29,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00014; cancer committee review pending,B00014,49,33,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00014; cancer committee review pending,B00014,49,33,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00014; cancer committee review pending,B00014,49,33,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,T4a,N0,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00014; cancer committee review pending,B00014,49,33,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00015; cancer committee review pending,B00015,50,34,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
Lip and Oral Cavity,AJCC7,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00015; cancer committee review pending,B00015,50,34,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00021; cancer committee review pending,B00021,57,41,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T1,N1,M0,Any,Any,II,extracted_candidate_v2_1 from B00021; cancer committee review pending,B00021,57,41,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T1,N2,M0,Any,Any,III,extracted_candidate_v2_1 from B00021; cancer committee review pending,B00021,57,41,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T4,N0,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00021; cancer committee review pending,B00021,57,41,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00021; cancer committee review pending,B00021,57,41,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00021; cancer committee review pending,B00021,57,41,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00022; cancer committee review pending,B00022,58,42,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00022; cancer committee review pending,B00022,58,42,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00022; cancer committee review pending,B00022,58,42,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T4a,N0,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00022; cancer committee review pending,B00022,58,42,ANATOMIC STAGE/PROGNOSTIC GROUPS,simple_tnm_stage_table_candidate
