site,display_label,alias
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,Esophagus / EGJ - squamous
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,ESCC
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,esophageal squamous cell carcinoma
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,squamous esophageal cancer
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,esophagus SCC
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,食道癌
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,食道鱗癌
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,食道鱗狀細胞癌
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,上消化道鱗癌
Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌,Esophagus and Esophagogastric Junction: Squamous Cell Carcinoma
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,Esophagus / EGJ - adenocarcinoma
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,EAC
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,GEJ adenocarcinoma
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,gastroesophageal junction adenocarcinoma
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,esophageal adenocarcinoma
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,EGJ cancer
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,食道腺癌
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,胃食道交界癌
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,GEJ癌
Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌,Esophagus and Esophagogastric Junction: Adenocarcinoma
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,Stomach
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,Gastric adenocarcinoma / Stomach / 胃癌
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,gastric cancer
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,gastric adenocarcinoma
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,stomach cancer
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,胃癌
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,胃腺癌
Stomach,Gastric adenocarcinoma / Stomach / 胃癌,Stomach
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,Small intestine
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,Small intestinal adenocarcinoma / 小腸腺癌
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,small bowel cancer
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,small intestinal adenocarcinoma
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,duodenal adenocarcinoma
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,jejunum adenocarcinoma
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,ileum adenocarcinoma
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,小腸癌
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,小腸腺癌
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,十二指腸腺癌
Small intestine,Small intestinal adenocarcinoma / 小腸腺癌,Small Intestine: Adenocarcinoma
Colon,Colon adenocarcinoma / 結腸癌,Colon
Colon,Colon adenocarcinoma / 結腸癌,Colon adenocarcinoma / 結腸癌
Colon,Colon adenocarcinoma / 結腸癌,colon cancer
Colon,Colon adenocarcinoma / 結腸癌,colonic adenocarcinoma
Colon,Colon adenocarcinoma / 結腸癌,CRC colon
Colon,Colon adenocarcinoma / 結腸癌,結腸癌
Colon,Colon adenocarcinoma / 結腸癌,大腸癌
Colon,Colon adenocarcinoma / 結腸癌,結腸腺癌
Colon,Colon adenocarcinoma / 結腸癌,Colon and Rectum
Rectum,Rectal adenocarcinoma / 直腸癌,Rectum
Rectum,Rectal adenocarcinoma / 直腸癌,Rectal adenocarcinoma / 直腸癌
Rectum,Rectal adenocarcinoma / 直腸癌,rectal cancer
Rectum,Rectal adenocarcinoma / 直腸癌,rectal adenocarcinoma
Rectum,Rectal adenocarcinoma / 直腸癌,CRC rectum
Rectum,Rectal adenocarcinoma / 直腸癌,直腸癌
Rectum,Rectal adenocarcinoma / 直腸癌,直腸腺癌
Rectum,Rectal adenocarcinoma / 直腸癌,大腸癌
Rectum,Rectal adenocarcinoma / 直腸癌,Colon and Rectum
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,Appendix - carcinoma
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,appendix cancer
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,appendiceal adenocarcinoma
