tool_site,edition,definition_rows,explicit_manual_rows,fallback_rows,generic_rows,coverage_status
Esophagus / EGJ - squamous,AJCC7,24,0,6,6,has_definitions
Esophagus / EGJ - squamous,AJCC8,18,0,0,0,has_definitions
Esophagus / EGJ - adenocarcinoma,AJCC7,24,0,6,6,has_definitions
Esophagus / EGJ - adenocarcinoma,AJCC8,18,0,0,0,has_definitions
Stomach,AJCC7,20,0,0,0,has_definitions
Stomach,AJCC8,20,0,0,0,has_definitions
Small intestine,AJCC7,15,0,0,0,has_definitions
Small intestine,AJCC8,15,0,0,0,has_definitions
Colon,AJCC7,25,0,4,4,has_definitions
Colon,AJCC8,22,0,0,0,has_definitions
Rectum,AJCC7,25,0,4,4,has_definitions
Rectum,AJCC8,22,0,0,0,has_definitions
Appendix - carcinoma,AJCC7,20,2,0,0,has_definitions
Appendix - carcinoma,AJCC8,22,0,0,0,has_definitions
GIST,AJCC7,12,0,0,0,has_definitions
GIST,AJCC8,12,0,0,0,has_definitions
HCC / Liver,AJCC7,13,0,0,0,has_definitions
HCC / Liver,AJCC8,15,1,0,0,has_definitions
Intrahepatic bile duct,AJCC7,14,2,0,0,has_definitions
Intrahepatic bile duct,AJCC8,14,0,0,0,has_definitions
Perihilar bile duct,AJCC7,15,0,0,0,has_definitions
Perihilar bile duct,AJCC8,15,0,0,0,has_definitions
Distal bile duct,AJCC7,12,0,0,0,has_definitions
Distal bile duct,AJCC8,13,0,0,0,has_definitions
Gallbladder,AJCC7,15,0,0,0,has_definitions
Gallbladder,AJCC8,17,0,0,0,has_definitions
Ampulla of Vater,AJCC7,12,0,0,0,has_definitions
Ampulla of Vater,AJCC8,17,0,0,0,has_definitions
Exocrine pancreas,AJCC7,12,0,0,0,has_definitions
Exocrine pancreas,AJCC8,16,0,0,0,has_definitions
NET - stomach,AJCC7,14,2,0,0,has_definitions
NET - stomach,AJCC8,15,3,0,0,has_definitions
NET - duodenum / ampulla,AJCC7,14,2,0,0,has_definitions
NET - duodenum / ampulla,AJCC8,12,0,0,0,has_definitions
NET - jejunum / ileum,AJCC7,15,2,0,0,has_definitions
NET - jejunum / ileum,AJCC8,16,3,0,0,has_definitions
NET - appendix,AJCC7,14,2,0,0,has_definitions
NET - appendix,AJCC8,15,3,0,0,has_definitions
NET - colon / rectum,AJCC7,14,2,0,0,has_definitions
NET - colon / rectum,AJCC8,18,6,0,0,has_definitions
NET - pancreas,AJCC7,14,2,0,0,has_definitions
NET - pancreas,AJCC8,12,0,0,0,has_definitions
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC7,0,0,0,0,no_tnm_definitions_extracted
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,12,10,2,2,has_definitions
Oral Cavity,AJCC7,18,18,0,0,has_definitions
Oral Cavity,AJCC8,24,20,4,4,has_definitions
Major Salivary Glands,AJCC7,17,17,0,0,has_definitions
Major Salivary Glands,AJCC8,18,12,6,6,has_definitions
Nasopharynx,AJCC7,21,21,0,0,has_definitions
Nasopharynx,AJCC8,14,14,0,0,has_definitions
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC7,21,21,0,0,has_definitions
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,12,12,0,0,has_definitions
Oropharynx (p16-),AJCC7,21,21,0,0,has_definitions
Oropharynx (p16-),AJCC8,18,18,0,0,has_definitions
Hypopharynx,AJCC7,21,21,0,0,has_definitions
Hypopharynx,AJCC8,18,18,0,0,has_definitions
Maxillary Sinus,AJCC7,18,18,0,0,has_definitions
Maxillary Sinus,AJCC8,13,12,1,1,has_definitions
