site,edition,definition_rows,strict_table_rows,fallback_review_rows
Adrenal Cortical Carcinoma,AJCC7,8,0,8
Adrenal – Neuroendocrine Tumors,AJCC7,9,0,9
Ampulla of Vater,AJCC7,18,0,18
Ampulla of Vater,AJCC8,17,17,0
Anus,AJCC7,11,0,11
Appendix - Carcinoma,AJCC8,22,22,0
Appendix - carcinoma,AJCC7,51,0,51
Appendix - carcinoma,AJCC8,19,0,19
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,8,0,8
Bone: Pelvis,AJCC7,8,0,8
Bone: Spine,AJCC7,8,0,8
Breast,AJCC7,22,0,22
Breast,AJCC8,52,45,7
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,AJCC8,5,0,5
Cervix Uteri,AJCC7,15,0,15
Colon,AJCC7,20,0,20
Colon,AJCC8,19,0,19
Conjunctival Melanoma,AJCC8,18,18,0
Corpus Uteri - Sarcoma,AJCC8,22,22,0
Corpus Uteri – Adenosarcoma,AJCC7,14,0,14
Corpus Uteri – Adenosarcoma,AJCC8,17,0,17
Corpus Uteri – Carcinoma and Carcinosarcoma,AJCC7,14,0,14
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC7,14,0,14
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,17,0,17
Cutaneous Carcinoma of the Head and Neck,AJCC7,26,0,26
Cutaneous Carcinoma of the Head and Neck,AJCC8,27,23,4
Distal bile duct,AJCC7,9,0,9
Distal bile duct,AJCC8,10,0,10
Esophagus / EGJ - adenocarcinoma,AJCC7,46,0,46
Esophagus / EGJ - adenocarcinoma,AJCC8,24,0,24
Esophagus / EGJ - squamous,AJCC7,46,0,46
Esophagus / EGJ - squamous,AJCC8,27,0,27
Esophagus and Esophagogastric Junction: Other Histologies,AJCC7,22,0,22
Exocrine pancreas,AJCC7,18,0,18
Exocrine pancreas,AJCC8,13,0,13
Eyelid Carcinoma,AJCC7,14,0,14
Eyelid Carcinoma,AJCC8,13,10,3
GIST,AJCC7,14,0,14
Gallbladder,AJCC7,19,0,19
Gallbladder,AJCC8,14,0,14
Gastrointestinal Stromal Tumor,AJCC8,10,10,0
HCC / Liver,AJCC7,9,0,9
HCC / Liver,AJCC8,10,0,10
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC7,24,0,24
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,21,16,5
Hypopharynx,AJCC7,24,0,24
Intrahepatic bile duct,AJCC7,9,0,9
Intrahepatic bile duct,AJCC8,11,0,11
Kidney,AJCC7,15,0,15
Kidney,AJCC8,9,5,4
Larynx,AJCC8,12,12,0
Larynx: Glottis,AJCC7,12,0,12
Larynx: Glottis,AJCC8,8,0,8
Larynx: Subglottis,AJCC7,12,0,12
Larynx: Subglottis,AJCC8,8,0,8
Larynx: Supraglottis,AJCC7,12,0,12
Larynx: Supraglottis,AJCC8,8,0,8
Lung,AJCC7,15,0,15
Major Salivary Glands,AJCC7,11,0,11
Major Salivary Glands,AJCC8,24,15,9
Male Penile Urethra and Female Urethra: Urothelial Carcinomas,AJCC7,14,0,14
Male Penile Urethra and Female Urethra: Urothelial Carcinomas,AJCC8,8,0,8
Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC7,14,0,14
