site_group,site_order,tool_site,ajcc7_source_sites,ajcc8_source_sites,crosswalk_note
Head & Neck / 頭頸部,22,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,New/changed AJCC8 site; no direct AJCC7 chapter in uploaded 7th manual TOC.
Head & Neck / 頭頸部,23,Oral Cavity,Lip and Oral Cavity,Oral Cavity,
Head & Neck / 頭頸部,24,Major Salivary Glands,Major Salivary Glands,Major Salivary Glands,
Head & Neck / 頭頸部,25,Nasopharynx,"Pharynx (Including base of tongue, soft palate, and uvula)",Nasopharynx,AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.
Head & Neck / 頭頸部,26,HPV-Mediated (p16+) Oropharyngeal Cancer,"Pharynx (Including base of tongue, soft palate, and uvula)",HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.
Head & Neck / 頭頸部,27,Oropharynx (p16-),"Pharynx (Including base of tongue, soft palate, and uvula)",Oropharynx (p16-) and Hypopharynx | Oropharynx (p16-),AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.
Head & Neck / 頭頸部,28,Hypopharynx,"Pharynx (Including base of tongue, soft palate, and uvula)",Oropharynx (p16-) and Hypopharynx | Hypopharynx,AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease.
Head & Neck / 頭頸部,29,Maxillary Sinus,Nasal Cavity and Paranasal Sinuses,Nasal Cavity and Paranasal Sinuses | Maxillary Sinus,AJCC7 uses a broader nasal cavity/paranasal sinus chapter; AJCC8 may split sites.
Head & Neck / 頭頸部,30,Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Paranasal Sinuses,Nasal Cavity and Paranasal Sinuses | Nasal Cavity and Ethmoid Sinus,AJCC7 uses a broader nasal cavity/paranasal sinus chapter; AJCC8 may split sites.
Head & Neck / 頭頸部,31,Larynx: Supraglottis,Larynx,Larynx,Tool split by laryngeal subsite; uploaded rule rows may be from broader Larynx chapter.
Head & Neck / 頭頸部,32,Larynx: Glottis,Larynx,Larynx,Tool split by laryngeal subsite; uploaded rule rows may be from broader Larynx chapter.
Head & Neck / 頭頸部,33,Larynx: Subglottis,Larynx,Larynx,Tool split by laryngeal subsite; uploaded rule rows may be from broader Larynx chapter.
Head & Neck / 頭頸部,34,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,
Head & Neck / 頭頸部,35,Cutaneous Carcinoma of the Head and Neck,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas,Cutaneous Carcinoma of the Head and Neck,
Thoracic / 胸腔,39,Thymus,,Thymus,
Thoracic / 胸腔,40,Lung,Lung,Lung,
Thoracic / 胸腔,41,Malignant Pleural Mesothelioma,Pleural Mesothelioma,Malignant Pleural Mesothelioma,
Breast / 乳房,52,Breast,Breast,Breast,
