edition,site,source_site,start_pdf_page,end_pdf_page,extracted_rule_rows,status
AJCC7,Lip and Oral Cavity,Lip and Oral Cavity,45,56,16,rules_extracted_needs_committee_review
AJCC7,"Pharynx (Including base of tongue, soft palate, and uvula)","Pharynx (Including base of tongue, soft palate, and uvula)",57,72,39,rules_extracted_needs_committee_review
AJCC7,Larynx,Larynx,73,84,16,rules_extracted_needs_committee_review
AJCC7,Nasal Cavity and Paranasal Sinuses,Nasal Cavity and Paranasal Sinuses,85,94,16,rules_extracted_needs_committee_review
AJCC7,Major Salivary Glands,Major Salivary Glands,95,102,15,rules_extracted_needs_committee_review
AJCC7,Thyroid,Thyroid,103,112,18,rules_extracted_needs_committee_review
AJCC7,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,113,118,5,rules_extracted_needs_committee_review
AJCC7,Esophagus and EGJ,Esophagus and Esophagogastric Junction,119,132,36,rules_extracted_needs_committee_review
AJCC7,Stomach,Stomach,133,142,22,rules_extracted_needs_committee_review
AJCC7,Small intestine,Small Intestine,143,148,16,rules_extracted_needs_committee_review
AJCC7,Appendix - carcinoma,Appendix,149,158,32,rules_extracted_needs_committee_review
AJCC7,Colon and Rectum,Colon and Rectum,159,180,16,rules_extracted_needs_committee_review
AJCC7,Anus,Anus,181,190,12,rules_extracted_needs_committee_review
AJCC7,Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor,191,196,19,rules_extracted_needs_committee_review
AJCC7,Neuroendocrine Tumors,Neuroendocrine Tumors,197,206,7,rules_extracted_needs_committee_review
AJCC7,HCC / Liver,Liver (Excluding intrahepatic bile ducts),207,216,7,rules_extracted_needs_committee_review
AJCC7,Intrahepatic bile duct,Intrahepatic Bile Ducts,217,226,7,rules_extracted_needs_committee_review
AJCC7,Gallbladder,Gallbladder,227,234,13,rules_extracted_needs_committee_review
AJCC7,Perihilar bile duct,Perihilar Bile Ducts,235,242,8,rules_extracted_needs_committee_review
AJCC7,Distal bile duct,Distal Bile Duct,243,250,9,rules_extracted_needs_committee_review
AJCC7,Ampulla of Vater,Ampulla of Vater,251,256,18,rules_extracted_needs_committee_review
AJCC7,Pancreas - exocrine/endocrine (AJCC7),Exocrine and Endocrine Pancreas,257,268,18,rules_extracted_needs_committee_review
AJCC7,Lung,Lung,269,286,28,rules_extracted_needs_committee_review
AJCC7,Pleural Mesothelioma,Pleural Mesothelioma,287,296,20,rules_extracted_needs_committee_review
AJCC7,Bone,Bone,297,306,9,rules_extracted_needs_committee_review
AJCC7,Soft Tissue Sarcoma,Soft Tissue Sarcoma,307,316,21,rules_extracted_needs_committee_review
AJCC7,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas,Cutaneous Squamous Cell Carcinoma and Other Cutaneous Carcinomas,317,330,26,rules_extracted_needs_committee_review
AJCC7,Merkel Cell Carcinoma,Merkel Cell Carcinoma,331,340,18,rules_extracted_needs_committee_review
AJCC7,Melanoma of the Skin,Melanoma of the Skin,341,362,27,rules_extracted_needs_committee_review
AJCC7,Breast,Breast,363,394,24,rules_extracted_needs_committee_review
AJCC7,Vulva,Vulva,395,402,23,rules_extracted_needs_committee_review
AJCC7,Vagina,Vagina,403,410,8,rules_extracted_needs_committee_review
AJCC7,Cervix Uteri,Cervix Uteri,411,418,14,rules_extracted_needs_committee_review
AJCC7,Corpus Uteri,Corpus Uteri,419,434,12,rules_extracted_needs_committee_review
AJCC7,Ovary and Primary Peritoneal Carcinoma,Ovary and Primary Peritoneal Carcinoma,435,444,14,rules_extracted_needs_committee_review
AJCC7,Fallopian Tube,Fallopian Tube,445,452,17,rules_extracted_needs_committee_review
AJCC7,Gestational Trophoblastic Tumors,Gestational Trophoblastic Tumors,453,462,0,site_registered_no_tnm_rows_extracted
AJCC7,Penis,Penis,463,472,22,rules_extracted_needs_committee_review
