group_order,site_group,site_order,site,display_label
10,Head & Neck / 頭頸部,22,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck
10,Head & Neck / 頭頸部,23,Oral Cavity,Oral Cavity
10,Head & Neck / 頭頸部,24,Major Salivary Glands,Major Salivary Glands
10,Head & Neck / 頭頸部,25,Nasopharynx,Nasopharynx
10,Head & Neck / 頭頸部,26,HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer
10,Head & Neck / 頭頸部,27,Oropharynx (p16-),Oropharynx (p16-)
10,Head & Neck / 頭頸部,28,Hypopharynx,Hypopharynx
10,Head & Neck / 頭頸部,29,Maxillary Sinus,Maxillary Sinus
10,Head & Neck / 頭頸部,30,Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus
10,Head & Neck / 頭頸部,31,Larynx: Supraglottis,Larynx: Supraglottis
10,Head & Neck / 頭頸部,32,Larynx: Glottis,Larynx: Glottis
10,Head & Neck / 頭頸部,33,Larynx: Subglottis,Larynx: Subglottis
10,Head & Neck / 頭頸部,34,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck
10,Head & Neck / 頭頸部,35,Cutaneous Carcinoma of the Head and Neck,Cutaneous Carcinoma of the Head and Neck
20,Thoracic / 胸腔,39,Thymus,Thymus
20,Thoracic / 胸腔,40,Lung,Lung
20,Thoracic / 胸腔,41,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma
30,Breast / 乳房,52,Breast,Breast
40,Gastrointestinal & HPB / 消化道與肝膽胰,1,Esophagus / EGJ - squamous,Esophageal / EGJ squamous cell carcinoma (ESCC) / 食道鱗狀細胞癌
40,Gastrointestinal & HPB / 消化道與肝膽胰,2,Esophagus / EGJ - adenocarcinoma,Esophageal / EGJ adenocarcinoma (EAC) / 食道胃食道交界腺癌
40,Gastrointestinal & HPB / 消化道與肝膽胰,3,Stomach,Gastric adenocarcinoma / Stomach / 胃癌
40,Gastrointestinal & HPB / 消化道與肝膽胰,4,Small intestine,Small intestinal adenocarcinoma / 小腸腺癌
40,Gastrointestinal & HPB / 消化道與肝膽胰,5,Colon,Colon adenocarcinoma / 結腸癌
40,Gastrointestinal & HPB / 消化道與肝膽胰,6,Rectum,Rectal adenocarcinoma / 直腸癌
