edition,source_pdf_page,site,source_site,line_no,raw_line,columns_json
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,1,Job Name: -- /381449t,"[""Job Name: --"", ""/381449t""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,6,3,"[""3""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,7,Lip and Oral Cavity,"[""Lip and Oral Cavity""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,8,"(Nonepithelial tumors such as those of lymphoid tissue, soft tissue,","[""(Nonepithelial tumors such as those of lymphoid tissue, soft tissue,""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,9,"bone, and cartilage are not included. Staging for mucosal melanoma","[""bone, and cartilage are not included. Staging for mucosal melanoma""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,10,of the lip and oral cavity is not included in this chapter - see Chap. 9.),"[""of the lip and oral cavity is not included in this chapter - see Chap. 9.)""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,11,3,"[""3""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,12,At-A-Glance,"[""At-A-Glance""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,13,SUMMARY OF CHANGES,"[""SUMMARY OF CHANGES""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,14,●,"[""●""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,15,T4 lesions have been divided into T4a (moderately advanced local disease) and T4b,"[""T4 lesions have been divided into T4a (moderately advanced local disease) and T4b""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,16,"(very advanced local disease), leading to the stratification of Stage IV into Stage IVA","[""(very advanced local disease), leading to the stratification of Stage IV into Stage IVA""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,17,"(moderately advanced local/regional disease), Stage IVB (very advanced local/regional","[""(moderately advanced local/regional disease), Stage IVB (very advanced local/regional""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,18,"disease), and Stage IVC (distant metastatic disease)","[""disease), and Stage IVC (distant metastatic disease)""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,21,ANATOMIC STAGE/PROGNOSTIC GROUPS ICD-O-3 TOPOGRAPHY,"[""ANATOMIC STAGE/PROGNOSTIC GROUPS"", ""ICD-O-3 TOPOGRAPHY""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,22,CODES,"[""CODES""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,23,Stage 0 Tis N0 M0 C00.0 External upper lip,"[""Stage 0"", ""Tis"", ""N0"", ""M0"", ""C00.0 External upper lip""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,24,C00.1 External lower lip,"[""C00.1 External lower lip""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,25,"Stage I T1 N0 M0 C00.2 External lip, NOS","[""Stage I"", ""T1"", ""N0"", ""M0"", ""C00.2 External lip, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,26,C00.3 Mucosa of upper lip,"[""C00.3 Mucosa of upper lip""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,27,Stage II T2 N0 M0 C00.4 Mucosa of lower lip,"[""Stage II"", ""T2"", ""N0"", ""M0"", ""C00.4 Mucosa of lower lip""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,28,"C00.5 Mucosa of lip, NOS","[""C00.5 Mucosa of lip, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,29,Stage III T3 N0 M0 C00.6 Commissure of lip,"[""Stage III"", ""T3"", ""N0"", ""M0"", ""C00.6 Commissure of lip""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,30,T1 N1 M0 C00.8 Overlapping lesion of lip,"[""T1"", ""N1"", ""M0"", ""C00.8 Overlapping lesion of lip""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,31,"T2 N1 M0 C00.9 Lip, NOS","[""T2"", ""N1"", ""M0"", ""C00.9 Lip, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,32,"T3 N1 M0 C02.0 Dorsal surface of tongue, NOS","[""T3"", ""N1"", ""M0"", ""C02.0 Dorsal surface of tongue, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,33,C02.1 Border of tongue,"[""C02.1 Border of tongue""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,34,"Stage IVA T4a N0 M0 C02.2 Ventral surface of tongue, NOS","[""Stage IVA"", ""T4a"", ""N0"", ""M0"", ""C02.2 Ventral surface of tongue, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,35,T4a N1 M0 C02.3 Anterior two-thirds of,"[""T4a"", ""N1"", ""M0"", ""C02.3 Anterior two-thirds of""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,36,"T1 N2 M0 tongue, NOS","[""T1"", ""N2"", ""M0"", ""tongue, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,37,C02.8 Overlapping lesion of tongue,"[""C02.8 Overlapping lesion of tongue""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,38,"T2 N2 M0 C02.9 Tongue, NOS","[""T2"", ""N2"", ""M0"", ""C02.9 Tongue, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,39,T3 N2 M0 C03.0 Upper gum,"[""T3"", ""N2"", ""M0"", ""C03.0 Upper gum""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,40,T4a N2 M0 C03.1 Lower gum,"[""T4a"", ""N2"", ""M0"", ""C03.1 Lower gum""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,41,"C03.9 Gum, NOS","[""C03.9 Gum, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,42,Stage IVB Any T N3 M0 C04.0 Anterior floor of mouth,"[""Stage IVB"", ""Any T"", ""N3"", ""M0"", ""C04.0 Anterior floor of mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,43,T4b Any N M0 C04.1 Lateral floor of mouth,"[""T4b"", ""Any N"", ""M0"", ""C04.1 Lateral floor of mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,44,C04.8 Overlapping lesion of floor,"[""C04.8 Overlapping lesion of floor""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,45,Stage IVC Any T Any N M1 of mouth,"[""Stage IVC"", ""Any T"", ""Any N"", ""M1"", ""of mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,46,"C04.9 Floor of mouth, NOS","[""C04.9 Floor of mouth, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,47,C05.0 Hard palate,"[""C05.0 Hard palate""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,48,C05.8 Overlapping lesion of palate,"[""C05.8 Overlapping lesion of palate""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,49,"C05.9 Palate, NOS","[""C05.9 Palate, NOS""]"
